time,setpoint,response,error
7.2000,2.865631,3.074433,-0.208802
7.2507,2.865631,3.074433,-0.208802
7.2556,2.865631,3.074433,-0.208802
7.3005,2.865631,3.082320,-0.216689
7.3028,2.865631,3.082320,-0.216689
7.3536,2.865631,3.082320,-0.216689
7.4009,2.865631,3.102752,-0.237121
7.4233,2.865631,3.102752,-0.237121
7.4744,2.865631,3.102752,-0.237121
7.4798,2.865631,3.102752,-0.237121
7.4999,2.865631,-3.118475,-0.299079
7.5399,2.865631,-3.118475,-0.299079
7.5907,2.865631,-3.118475,-0.299079
7.5919,2.865631,-3.118475,-0.299079
7.5998,2.865631,-2.862456,-0.555098
7.6469,2.865631,-2.862456,-0.555098
7.6951,2.865631,-2.862456,-0.555098
7.6999,2.865631,-0.660635,-2.756919
7.7507,2.865631,-0.660635,-2.756919
7.7556,2.865631,-0.660635,-2.756919
7.8011,2.865631,-0.334566,-3.082988
7.8054,2.865631,-0.334566,-3.082988
7.8563,2.865631,-0.334566,-3.082988
7.8666,2.865631,-0.334566,-3.082988
7.9010,2.865631,-0.155693,3.021324
7.9162,2.865631,-0.155693,3.021324
7.9671,2.865631,-0.155693,3.021324
7.9759,2.865631,-0.155693,3.021324
8.0001,2.865631,-0.195404,3.061035
8.0285,2.865631,-0.195404,3.061035
8.0794,2.865631,-0.195404,3.061035
8.0846,2.865631,-0.195404,3.061035
8.1004,2.865631,-0.170498,3.036129
8.1382,2.865631,-0.170498,3.036129
8.1890,2.865631,-0.170498,3.036129
8.1944,2.865631,-0.170498,3.036129
8.1995,2.865631,-0.177310,3.042941
8.2478,2.865631,-0.177310,3.042941
8.2986,2.865631,-0.177310,3.042941
8.3004,2.865631,-0.167488,3.033119
8.3193,2.865631,-0.167488,3.033119
8.3671,2.865631,-0.167488,3.033119
8.4006,2.865631,-0.150334,3.015965
8.4246,2.865631,-0.150334,3.015965
8.4759,2.865631,-0.150334,3.015965
8.4775,2.865631,-0.150334,3.015965
8.5004,2.865631,-0.147773,3.013404
8.5428,2.865631,-0.147773,3.013404
8.5936,2.865631,-0.147773,3.013404
8.5946,2.865631,-0.147773,3.013404
8.5995,2.865631,-0.136714,3.002345
8.6503,2.865631,-0.136714,3.002345
8.6571,2.865631,-0.136714,3.002345
8.7004,2.865631,-0.137211,3.002842
8.7090,2.865631,-0.137211,3.002842
8.7598,2.865631,-0.137211,3.002842
8.7626,2.865631,-0.137211,3.002842
8.8008,2.865631,-0.135761,3.001392
8.8146,2.865631,-0.135761,3.001392
8.8653,2.865631,-0.135761,3.001392
8.8668,2.865631,-0.135761,3.001392
8.9023,2.865631,-0.169575,3.035206
8.9189,2.865631,-0.169575,3.035206
8.9697,2.865631,-0.169575,3.035206
8.9845,2.865631,-0.169575,3.035206
9.0003,2.865631,-0.180388,3.046019
9.0314,2.865631,-0.180388,3.046019
9.0829,2.865631,-0.180388,3.046019
9.0832,2.865631,-0.180388,3.046019
9.1004,2.865631,-0.197306,3.062937
9.1378,2.865631,-0.197306,3.062937
9.1827,2.865631,-0.197306,3.062937
9.2006,2.865631,-0.216493,3.082124
9.2318,2.865631,-0.216493,3.082124
9.2827,2.865631,-0.216493,3.082124
9.3005,2.865631,-0.223266,3.088898
9.3031,2.865631,-0.223266,3.088898
9.3538,2.865631,-0.223266,3.088898
9.3561,2.865631,-0.223266,3.088898
9.4004,2.865631,-0.277584,-3.139970
9.4136,2.865631,-0.277584,-3.139970
9.4589,2.865631,-0.277584,-3.139970
9.5011,2.865631,-0.381534,-3.036020
9.5062,2.865631,-0.381534,-3.036020
9.5571,2.865631,-0.381534,-3.036020
9.5604,2.865631,-0.381534,-3.036020
9.6014,2.865631,-0.782371,-2.635183
9.6074,2.865631,-0.782371,-2.635183
9.6549,2.865631,-0.782371,-2.635183
9.7005,2.865631,-2.356514,-1.061040
9.7015,2.865631,-2.356514,-1.061040
9.7521,2.865631,-2.356514,-1.061040
9.7540,2.865631,-2.356514,-1.061040
9.8006,2.865631,-2.829745,-0.587809
9.8074,2.865631,-2.829745,-0.587809
9.8556,2.865631,-2.829745,-0.587809
9.9006,2.865631,-3.000783,-0.416771
9.9045,2.865631,-3.000783,-0.416771
9.9552,2.865631,-3.000783,-0.416771
9.9573,2.865631,-3.000783,-0.416771
10.0006,2.865631,-3.019429,-0.398125
10.0077,2.865631,-3.019429,-0.398125
10.0584,2.865631,-3.019429,-0.398125
10.0671,2.865631,-3.019429,-0.398125
10.1012,2.865631,-3.066035,-0.351519
10.1171,2.865631,-3.066035,-0.351519
10.1681,2.865631,-3.066035,-0.351519
10.1723,2.865631,-3.066035,-0.351519
10.2010,2.865631,-3.095339,-0.322215
10.2232,2.865631,-3.095339,-0.322215
10.2740,2.865631,-3.095339,-0.322215
10.2757,2.865631,-3.095339,-0.322215
10.3005,2.865631,-3.097053,-0.320501
10.3249,2.865631,-3.097053,-0.320501
10.3761,2.865631,-3.097053,-0.320501
10.3842,2.865631,-3.097053,-0.320501
10.4005,2.865631,-3.098436,-0.319118
10.4356,2.865631,-3.098436,-0.319118
10.4864,2.865631,-3.098436,-0.319118
10.4949,2.865631,-3.098436,-0.319118
10.4997,2.865631,-3.084884,-0.332670
10.5432,2.865631,-3.084884,-0.332670
10.5908,2.865631,-3.084884,-0.332670
10.5999,2.865631,-3.058141,-0.359413
10.6450,2.865631,-3.058141,-0.359413
10.6960,2.865631,-3.058141,-0.359413
10.6973,2.865631,-3.058141,-0.359413
10.7009,2.865631,-2.992116,-0.425438
10.7516,2.865631,-2.992116,-0.425438
10.7531,2.865631,-2.992116,-0.425438
10.8005,2.865631,-2.906153,-0.511401
10.8091,2.865631,-2.906153,-0.511401
10.8598,2.865631,-2.906153,-0.511401
10.8682,2.865631,-2.906153,-0.511401
10.9004,2.865631,-2.161968,-1.255586
10.9128,2.865631,-2.161968,-1.255586
10.9583,2.865631,-2.161968,-1.255586
11.0004,2.865631,-0.643473,-2.774081
11.0221,2.865631,-0.643473,-2.774081
11.0677,2.865631,-0.643473,-2.774081
11.1001,2.865631,-0.286913,-3.130641
11.1235,2.865631,-0.286913,-3.130641
11.1640,2.865631,-0.286913,-3.130641
11.2002,2.865631,-0.232079,3.097710
11.2188,2.865631,-0.232079,3.097710
11.2566,2.865631,-0.232079,3.097710
11.3003,2.865631,-0.296505,-3.121049
11.3145,2.865631,-0.296505,-3.121049
11.3534,2.865631,-0.296505,-3.121049
11.3959,2.865631,-0.296505,-3.121049
11.3996,2.865631,-0.257968,3.123599
11.4401,2.865631,-0.257968,3.123599
11.4858,2.865631,-0.257968,3.123599
11.4998,2.865631,-0.230886,3.096517
11.5301,2.865631,-0.230886,3.096517
11.5775,2.865631,-0.230886,3.096517
11.6009,2.865631,-0.216672,3.082304
11.6247,2.865631,-0.216672,3.082304
11.6756,2.865631,-0.216672,3.082304
11.6860,2.865631,-0.216672,3.082304
11.7003,2.865631,-0.201939,3.067571
11.7344,2.865631,-0.201939,3.067571
11.7835,2.865631,-0.201939,3.067571
11.8002,2.865631,-0.183832,3.049464
11.8289,2.865631,-0.183832,3.049464
11.8698,2.865631,-0.183832,3.049464
11.9005,2.865631,-0.174582,3.040213
11.9091,2.865631,-0.174582,3.040213
11.9537,2.865631,-0.174582,3.040213
12.0006,2.865631,-0.166622,3.032253
